project_id,pubmed_id
1,15466574
2,18987310
3,
4,21124488
5,21437280
6,22323811
7,19444203
8,18273011
9,
10,19805210
11,
12,
13,19207571
14,17921274
15,
16,18467493
17,18698407
18,19397678
19,
20,19207571
21,17878949
22,16998472
23,18987310
24,
25,16368896
26,17504484
,18213365
27,
28,16980956
29,16336043
30,
31,
32,16741115
33,17916580
34,
35,19571895
36,18523433
37,19633714
38,19801459
39,15459382
40,19892985
41,18301735
42,16820057
43,
44,19037243
45,17090214
46,
47,18764874
48,17472632
49,17183312
50,21407241
51,
52,18725995
53,
54,18650394
55,19555373
56,18382653
57,21886845
58,18337718
59,20844569
60,17068264
61,22324779
62,19196269
63,22388749
64,18810270
65,18033299
66,19043404
67,18441115
68,18311127
69,18711340
70,19840106
71,19114525
72,21124740
73,16304596
74,
75,16467157
76,23468974
77,23064332
78,20962874
79,20192971
80,22967509
81,24589037
82,20807744
83,21289652
84,21981709
85,21651822
86,21738524
87,
88,22534608
89,23176588
90,22128350
91,22625871
92,22713159
93,22845467
94,23468974
95,20844569
96,22912629
97,
98,22967509
99,17284217
100,23192699
101,
102,22773646
103,23991166
104,
105,
106,23861150
107,19210704
108,21914098
109,22324779
110,23111870
111,23902988
112,25171333
113,
114,
115,21915244
116,20393571
117,25129545
118,25129545
119,22778901
120,22778901
121,24612402
122,24597458
123,22329601
124,25002514
125,
127,
128,
